RED,GREEN,BLUE,NUMERO
166.897425,121.227825,125.001625,21512
96.69685,101.9357,102.0494,3021
85.572875,87.6215,77.09325,15721
161.62975,156.994525,140.8345,19374
184.25635,174.296775,160.784775,18616
183.39145,180.61915,167.078425,5772
176.50865,168.4293,143.899125,23376
77.74,74.464375,75.66975,11153
108.32655,95.556725,62.21095,25915
150.15055,151.593525,155.0631,2674
96.2112,87.395725,65.626825,20718
44.78025,40.898925,28.9605,11324
200.061425,178.82245,165.393325,15286
163.18615,159.51355,150.685075,3475
93.987575,105.28485,86.60665,19642
76.4888,59.649175,46.6985,20325
137.4078,125.458925,95.4919,6901
141.361825,139.718975,136.6768,5395
109.336025,114.100875,97.20235,23944
140.395925,125.3698,89.052075,24471
121.155575,105.7867,107.0008,15420
90.20025,81.379375,73.9194,17618
151.26565,151.59225,139.10035,19089
134.35825,119.528375,106.96095,23398
132.481175,121.13315,96.077875,17095
150.31305,135.1256,110.741175,19969
47.234275,52.480675,39.965,9901
68.035275,63.800325,45.258475,14547
201.225225,201.225225,201.225225,256
102.01035,88.0128,69.663325,17351
205.2669,196.577075,193.530425,12364
177.966175,167.558925,130.378375,15736
102.39185,101.7282,101.286975,1552
136.474225,92.3821,41.236125,22453
123.47365,144.9111,156.323175,22685
169.2004,169.2004,169.2004,256
181.670775,159.74005,163.061875,15753
192.890725,179.42025,183.074825,11883
108.1209,92.40215,61.4735,10916
91.835275,59.177675,33.294275,11358
113.120875,91.31055,66.841325,17878
57.9755,35.946725,21.318175,11873
202.0135,173.466275,159.57435,20994
149.88755,154.9596,142.84005,22746
168.327425,176.708125,183.131575,19546
228.39665,165.705875,108.0967,17923
158.1886,163.586325,138.078225,21682
129.3724,126.301025,105.19345,22052
163.651875,154.197125,150.172325,17501
124.770175,124.54475,102.391825,7201
68.56725,68.56725,68.56725,256
125.50035,126.429275,100.19645,21953
118.194575,88.4482,29.756275,24148
159.775825,126.50555,107.456175,15575
163.288775,160.08405,156.58965,12773
117.092875,122.53655,108.79895,23731
122.868725,122.200425,108.110125,19699
184.756825,183.3846,185.295675,2670
80.56235,46.0819,19.077225,22758
85.986225,56.38635,29.060075,18029
205.0037,198.422425,197.503575,8327
113.015075,114.388775,109.27915,25911
76.302075,62.655,30.619,15984
116.79215,87.817875,49.36965,16362
108.90485,108.707775,102.547425,19053
170.960225,164.676525,122.2353,17562
166.42415,162.094975,142.747325,18360
108.625425,97.327225,78.287275,19649
205.773925,203.098325,197.6078,9554
78.61635,65.206,55.712725,13121
90.122325,81.1986,80.560825,16780
166.1816,145.2702,132.7532,19199
79.642975,47.23725,45.790175,24968
108.60705,97.415725,84.2818,19884
141.75,134.006625,130.868625,20762
171.063725,151.545075,114.156525,16671
171.537625,142.84835,102.107275,25536
117.016075,111.184175,88.291,28563
71.9365,60.9952,59.848675,20332
120.61385,131.135475,110.2787,21754
165.086525,120.86015,103.74625,26700
85.99435,57.591625,29.7985,25786
101.892675,78.850525,59.213125,15743
144.514675,119.386975,89.696375,18190
89.675575,66.65125,51.894025,21990
127.394175,106.954925,76.0997,3683
33.860725,34.3611,33.018075,9064
160.679425,138.9725,85.6631,33582
143.0116,141.8085,141.93575,2103
118.761025,106.99215,63.490875,16356
152.173475,139.356325,64.75095,27272
181.11875,135.8568,77.8541,33564
140.15085,119.676675,104.67055,22428
139.03395,133.6878,102.546675,20245
89.1783,80.926775,86.660225,17044
186.038825,173.24425,144.024225,19031
77.5504,66.95745,63.7401,17003
132.97735,129.786175,107.365375,17904
163.86395,131.527675,102.552525,16678
190.907625,185.302375,161.00575,16504
119.523525,124.92785,116.504975,21917
134.820675,118.1959,117.066775,20596
115.046575,89.821275,66.3218,17147
130.5448,120.330875,90.525925,33943
154.10585,139.80065,126.940175,22867
133.238925,141.831375,141.481325,18506
169.689175,159.4569,143.87395,23244
158.5433,137.251325,166.416,6758
186.109625,174.693925,159.857575,19847
103.62035,97.8537,81.77955,13466
130.843775,111.396575,66.029075,18660
82.7674,87.5354,60.60995,18796
136.4955,116.0671,108.437675,14852
95.26835,98.2047,89.761075,28785
142.484175,120.886275,81.194675,21610
100.55935,87.86465,62.91325,20626
82.865475,85.071425,67.036375,20611
141.598875,146.213725,145.2503,14292
96.171525,94.85155,83.334475,17346
176.60755,178.406675,164.2261,21965
119.755175,120.053275,105.04785,22688
143.056325,135.623175,115.58785,25632
162.415775,156.580325,151.118225,20557
103.38525,81.902225,67.3926,26130
33.552825,31.83855,34.4108,13524
79.246425,76.610625,55.65325,15225
87.4485,84.0425,70.137875,7747
154.51055,139.41445,103.457,23005
132.966925,129.9484,117.976225,22289
126.5294,109.87315,74.34815,29004
80.506725,59.83625,56.743625,19509
99.74755,70.39875,48.9215,20886
182.594675,158.771525,173.62005,24097
95.309075,110.989175,110.6581,17397
24.1326,21.829675,18.99075,5756
139.4436,146.493775,140.065725,9259
170.413525,164.764075,151.558825,22093
136.48665,136.48665,136.48665,256
177.989975,173.101075,169.672875,22200
44.012,48.9727,48.53155,14435
121.400975,126.39965,116.418875,24614
150.535325,155.192625,147.549,23011
159.039525,148.897175,131.90565,23520
101.909025,83.6173,70.48365,10721
144.324625,114.942075,99.8969,19861
106.40175,98.176525,82.668125,16361
103.321425,126.745775,112.38975,30567
207.984075,200.86765,197.06015,12353
147.10425,124.089375,108.8397,22911
174.15205,174.15205,174.15205,239
61.288975,40.518975,36.12215,8479
151.664875,150.0145,135.0183,25059
123.9785,112.88555,92.301125,16986
125.0118,125.29025,104.282775,17491
104.0074,83.059075,51.27355,27573
97.8954,99.305325,59.68545,28078
88.093525,90.538075,59.2136,10210
185.049175,196.54685,199.156775,12987
43.617,28.52565,14.467225,9728
68.89225,72.3939,68.1907,11303
40.582725,33.614,31.23485,4977
121.026375,119.1021,115.036575,27055
169.666925,153.516825,121.8104,22667
24.502525,24.332525,12.688525,4059
224.96175,224.96175,224.96175,256
121.39155,94.72905,85.004375,20097
192.248225,192.97195,194.790075,1505
58.902525,44.443375,32.850975,12296
75.93255,55.518475,39.934425,15927
91.32255,80.67145,66.6275,16577
101.4363,93.961925,88.35735,17051
128.967525,128.967525,128.967525,256
110.3821,85.52835,63.82855,18462
115.952175,87.785025,53.367425,28549
181.8731,177.730775,159.1536,11342
143.059,144.274025,135.64525,20282
163.709375,174.0694,178.370825,10318
26.247375,27.8479,19.44685,5398
158.87115,151.33765,144.737675,18747
163.109475,130.778975,125.8448,20605
150.8252,130.585025,97.602375,13771
120.2525,107.755625,90.9519,27384
103.879325,83.0412,51.337225,28826
166.31515,165.71215,114.92645,28948
179.41715,172.35555,160.46265,13420
105.3361,96.719825,81.91145,15335
70.95375,48.7101,33.787975,11476
121.5256,117.118,113.184025,16423
204.9136,210.08175,212.546775,2333
103.27695,63.9403,56.46935,22946
54.885975,49.827725,33.309525,15088
134.9874,128.493525,128.0423,24548
131.419025,131.419025,131.419025,256
75.01795,67.805,48.977125,13070
45.97255,52.241225,55.0605,12062
184.60295,187.616225,184.25095,10836
176.77135,166.48495,128.88355,13042
154.5076,135.077625,107.02325,19343
90.88355,90.7481,92.6572,813
104.8727,82.1088,51.302975,24324
140.142825,110.925325,63.299175,17724
161.564475,161.564475,161.564475,256
207.695575,191.390975,183.651,23928
175.457,151.057175,126.050575,20153
113.802175,124.555225,141.305925,27659
177.688625,146.213725,117.76105,30485
162.632525,185.550175,163.8135,18588
62.672025,53.5239,44.72145,9226
130.628075,107.9393,87.614275,20826
190.419425,195.310875,180.013475,13827
80.060025,82.3505,70.26945,14424
50.6504,58.797575,57.611575,4864
199.5299,166.267975,102.0712,13481
90.54785,91.5265,78.345675,14234
134.791475,121.871675,75.9776,25618
142.472725,148.610825,128.833925,20742
103.9834,93.40535,71.6557,25970
90.17705,74.323075,46.0038,15818
160.04295,162.612975,149.95065,18439
55.85325,42.440725,41.381575,12036
166.922325,171.366175,153.858075,13908
165.85205,134.855975,77.98285,31514
171.00645,162.67085,138.962225,26027
145.500375,135.541125,108.787625,20474
103.7755,110.64015,108.905025,3711
193.3215,194.1052,184.15575,7523
145.231975,153.483225,139.751475,15155
92.043725,72.125475,52.63165,16291
115.014,119.16405,85.706325,24653
44.1416,36.563375,40.154875,13121
178.97115,172.911025,172.715875,12489
201.60335,192.84065,184.56,14251
156.62745,144.4981,110.454425,20932
140.01085,147.428525,144.34025,15929
92.909,84.7508,74.86175,13205
57.534675,49.70245,41.666,4982
188.981525,178.021,174.1344,20909
151.048425,144.7478,132.7902,13890
19.56115,15.47595,16.306,5475
19.881575,25.58225,25.0717,5319
105.227075,92.906625,71.87945,20425
137.3555,141.6284,129.646775,22149
70.96385,61.218725,51.8835,13795
120.33135,110.761475,84.4371,13699
141.802375,135.334325,124.73125,18733
55.072875,50.563525,42.905525,10042
155.3432,138.560475,135.004875,17568
82.506375,88.47505,83.14435,21777
176.8441,163.31635,122.029875,18620
140.405825,136.4914,132.176425,22629
171.031475,137.232675,116.01005,20797
71.6699,71.598725,60.38125,15407
100.522275,88.7723,75.761625,18803
104.5817,89.903325,73.00215,21611
93.876525,65.2946,61.528375,15743
131.660425,111.745275,64.89375,20096
169.171075,143.793775,136.43645,28909
108.747725,136.697025,123.963125,7578
206.797875,204.16685,208.373825,5477
170.205075,171.350075,173.293675,959
138.267575,136.565475,134.130525,25585
119.5711,142.9978,143.2369,13967
75.690125,65.192225,53.25205,19986
111.990275,93.836525,70.06305,11663
92.899525,69.06185,31.70745,12989
82.007975,87.16165,91.834175,24106
94.99575,92.21735,83.17485,17842
118.384325,115.17975,89.509675,27062
82.6897,82.4615,51.682925,21067
171.985475,166.04295,152.1422,11025
94.183925,100.0201,75.129775,24438
80.770575,56.599425,50.577575,14865
129.476375,123.133725,97.691175,26931
72.59785,63.70175,49.532825,13174
84.365,58.2138,31.126875,15003
145.343675,151.222825,120.698475,20721
72.432425,70.8444,72.0269,14684
164.439175,121.053025,87.720525,22816
74.565175,66.284875,34.5599,20971
49.881575,55.055875,45.35685,12067
43.216425,37.4049,29.9538,6445
117.800725,93.88175,95.0517,18494
154.10335,103.4805,69.403975,21211
97.692825,91.4399,92.70865,17612
61.910475,38.001375,24.99055,10377
177.288025,166.3625,168.155375,14516
100.259975,98.9763,86.64815,11415
103.93185,106.4464,96.214975,6403
139.8712,126.2966,111.982225,8583
129.751575,94.083775,53.155725,16909
107.82885,92.629475,70.8359,25154
101.2587,102.2622,103.744625,15701
142.271675,132.868975,109.1687,25426
73.17925,23.02765,15.74485,11668
157.743125,153.36515,139.45515,16831
118.501175,122.637775,112.88915,29362
122.4903,79.558725,35.54725,23142
143.7361,152.547425,135.57775,19271
79.74935,76.625825,50.488525,22119
111.346925,76.57635,52.84925,16404
187.006425,175.12725,155.9576,20585
165.86565,157.56595,132.747075,17589
207.57055,198.2145,173.28535,13357
120.62855,119.20085,100.251975,21635
114.295925,99.13455,71.4047,18307
210.8303,202.35185,188.123925,10651
107.709625,136.981725,80.494125,29829
164.813875,141.78165,91.68365,29842
75.855425,78.19,53.664625,20505
74.315,71.236075,54.97005,17174
151.081325,113.7224,115.544925,23186
175.292075,149.5532,132.0042,19419
106.193625,97.085975,68.658675,28875
157.8896,141.2438,112.368275,20816
58.4086,45.7408,30.2597,12083
98.0104,74.596175,55.6332,6832
81.678025,59.91265,34.715725,17012
84.35235,71.720575,49.669975,22034
115.0639,110.281225,88.056225,33477
86.966025,70.569375,54.43735,11039
138.174425,125.685025,87.753825,26266
186.827875,188.8534,167.17105,12163
173.0087,178.83705,170.484625,17047
124.313725,115.85165,93.6018,22355
118.8468,100.80325,78.516325,2807
109.64635,98.72,72.4422,26098
196.371275,190.613575,200.18425,13801
127.598875,117.6281,87.47035,20450
171.5414,160.382525,162.034225,12079
123.12885,124.798225,93.900825,26126
121.14635,110.90585,105.01465,20699
150.88575,150.88575,150.88575,243
98.44405,73.2328,50.803625,20462
84.22145,77.942925,63.179425,13310
92.4417,89.603775,88.2125,3172
140.319075,145.6291,138.84545,29220
200.893675,187.447975,151.552975,20474
90.13055,78.9235,81.6167,11864
134.700375,132.21585,131.204225,3262
84.926425,84.392675,69.854475,18926
198.566575,194.6199,186.0323,11505
163.55365,119.809075,104.69085,26472
121.757325,117.799825,105.413925,22345
63.045275,53.562525,47.202075,7910
102.410825,80.70375,52.4015,24943
107.93995,86.319675,59.47085,28171
133.23125,131.377875,132.08195,3630
95.294425,93.111,89.273025,24183
212.5442,203.301825,180.55835,13642
173.3218,137.52625,103.8785,3193
177.08445,156.652475,100.140625,16374
159.253075,166.012675,127.7201,26174
189.7458,169.111175,161.808775,25698
172.6406,147.0469,149.63445,22883
138.776175,139.9818,133.897575,11311
62.055375,49.2098,32.990175,14013
118.89635,67.42475,31.84805,24135
126.163,108.53805,68.124475,26100
87.055725,67.547475,52.8137,20088
91.250925,85.55415,78.8365,22693
170.7597,133.194825,99.38315,21064
144.2294,126.037875,103.551775,8947
124.905275,102.738475,91.763325,29040
66.035675,64.147625,54.319275,12620
106.334625,101.390425,91.78555,22489
173.639475,173.20955,157.36155,20233
81.057775,66.307725,50.4912,14299
62.44315,49.53895,46.957875,7724
37.27655,29.997025,19.2423,11747
196.184325,192.627025,192.58895,2634
160.005725,160.059475,160.5305,903
118.538475,123.086225,111.790225,20449
124.391425,122.71165,105.342275,25626
32.221775,32.221775,32.221775,255
99.373425,80.968825,49.8808,17140
130.92445,128.113175,131.85555,22457
106.9742,60.936825,13.7427,18028
53.1133,49.63395,55.0012,17583
142.3991,117.204675,88.58615,17881
79.5702,77.4748,49.347375,23008
70.66305,64.78625,53.531675,17609
147.884625,132.219575,105.9488,26440
165.9781,157.1088,135.015,24957
